open,high,low,close,volume
'138.1250','138.1500','138.0300','138.1000','80477'
'138.1899','138.1900','138.1200','138.1300','39151'
'138.2400','138.2500','138.1800','138.1900','43815'
'138.2600','138.2800','138.2300','138.2400','28241'
'138.2600','138.2700','138.2200','138.2600','25771'
'138.2500','138.2700','138.2100','138.2700','19126'
'138.2800','138.3000','138.2200','138.2500','18165'
'138.3400','138.3400','138.2600','138.2700','13334'
'138.3500','138.3700','138.3200','138.3300','17873'
'138.4000','138.4000','138.3200','138.3500','21465'
'138.4000','138.4100','138.3800','138.3992','10565'
'138.4300','138.4500','138.3900','138.3950','10297'
'138.4289','138.4400','138.4000','138.4100','11784'
'138.4000','138.4300','138.3800','138.4100','15206'
'138.3800','138.4400','138.3600','138.4200','17973'
'138.4600','138.4600','138.3600','138.3800','11960'
'138.4600','138.4700','138.4300','138.4600','10940'
'138.4650','138.4700','138.4200','138.4600','12890'
'138.4600','138.4800','138.4400','138.4601','9240'
'138.4100','138.4700','138.4100','138.4698','17728'
'138.4100','138.4400','138.4000','138.4250','15864'
'138.4100','145.4027','138.3900','138.4001','19129'
'138.3600','147.7039','138.3400','138.4200','15351'
'138.4000','138.4200','138.3500','138.3650','15057'
'138.3800','144.1125','138.3600','138.4200','16716'
'138.4300','138.4400','138.3700','138.3850','23505'
'138.4300','145.5905','138.4100','138.4299','25894'
'138.4200','138.5000','138.4162','138.4400','12850'
'138.4300','138.6300','129.2000','138.4300','1244677'
'138.4700','147.7039','138.4000','138.4100','11844'
'138.4900','138.5000','138.4600','138.4600','14641'
'138.5000','145.4027','129.2000','129.2000','12889'
'138.4700','145.5905','138.4500','138.5000','20314'
'138.4600','138.4800','138.4200','138.4800','21698'
'138.4700','138.4900','138.4500','138.4500','21592'
'138.5050','138.5050','138.4000','138.4700','29264'
'138.5800','138.5900','138.4800','138.4800','44374'
'138.5800','138.8000','138.5400','138.5650','1466506'
'138.5700','138.6300','138.5100','138.6000','32962'
'138.6201','138.6800','138.5600','138.5800','58174'
'138.6300','138.6400','138.6000','138.6200','30929'
'138.6200','141.4150','138.5900','138.6300','46150'
'138.6200','138.6900','138.5900','138.6000','82426'
'138.6900','138.7000','138.5700','138.6100','26836'
'138.5600','138.7500','138.4700','138.6850','83577'
'138.5700','138.8340','138.5200','138.5650','1583670'
'138.4800','138.6600','138.4600','138.6000','2093587'
'138.6300','138.6500','138.3000','138.4850','34082933'
'138.1700','139.0000','138.1700','138.6300','4896426'
'138.5000','138.5025','137.8900','138.1627','4463075'
'138.4700','138.7100','138.4401','138.5054','1239194'
'138.6400','138.6600','138.3600','138.4734','1376858'
'138.8600','138.8698','138.6000','138.6400','1080993'
'138.7950','138.8900','138.6500','138.8699','1321390'
'138.6800','138.8250','138.6501','138.7988','829188'
'138.6900','138.7200','138.5550','138.6799','821682'
'138.7700','138.8700','138.6200','138.6876','1378204'
'138.6550','138.8000','138.6150','138.7701','1097556'
'138.3903','138.6775','138.3400','138.6550','1183063'
'138.5600','138.5881','138.3800','138.3900','817632'
'138.4079','138.5800','138.3800','138.5700','1033584'
'138.2299','138.4500','138.2000','138.4002','874974'
'138.1900','138.2700','138.0800','138.2201','587758'
'138.1500','138.3000','138.1200','138.1800','638635'
'138.2791','138.3300','138.1200','138.1401','601016'
'138.1261','138.3600','138.1200','138.2792','1015959'
'138.0295','138.1700','137.9200','138.1286','1074169' 
'138.0400','138.1300','137.9300','138.0250','749825'
'137.8850','138.1400','137.8850''138.0450','1201169'
'138.2450','138.3000','137.8250','137.8934','1858061'
'138.4558','138.4650','138.2300','138.2500','798140'
'138.5950','138.5950','138.3500','138.4600','971719'
'138.6900','138.6928','138.4800','138.5837','807943'
'138.7450','138.7450','138.5800','138.6892','614789'
'138.7200','138.8400','138.5800','138.7458','1036021'
'138.5600','138.7700','138.5500','138.7200','1245581'
'138.1590','138.5850','138.1200','138.5550','1547060'
'138.3000','138.3600','137.9400','138.1506','2894888'
'138.8300','138.8900','138.2900','138.2950','1533565'
'138.4740','138.8400','138.4700','138.8399','1659357'
'138.7000','138.7200','138.4450','138.4700','1304769'
'138.7791','138.8300','138.6700','138.6962','686570'
'138.6900','138.8200','138.6800','138.7750','845927'
'138.7600','138.7800','138.6000','138.6850','1342509'
'138.9350','138.9600','138.7600','138.7687','1929770'
'139.0899','139.1900','138.9300','138.9300','754866'
'139.1600','139.1600','139.0105','139.0900','780094'
'139.1550','139.2200','138.9801','139.1501','999569'
'139.1500','139.1800','139.0500','139.1550','648920'
'139.1700','139.2300','138.9600','139.1500','1030642'
'139.4600','139.4600','139.0500','139.1650','1908880'
'139.4300','139.5300','139.2700','139.4700','1051418'
'139.4750','139.6499','139.4100','139.4238','1321687'
'139.4500','139.5600','139.3800','139.4800','1086492'
'139.4100','139.4700','139.2200','139.4499','1000474' 
'139.2500','139.4700','139.2000','139.4250','979011'
'139.3450','139.3500','139.1500','139.2699','1009622' 
'139.4800','139.5000','139.2700','139.3500','951963'
'139.4000','139.5200','139.2600','139.5000','1116027'
'139.3200','139.5400','139.2900','139.4050','1589103'
